,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
173,Washington Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2850.0,1.0,0
174,"21-34 Broadway, Apt 2C","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2820.0,1.0,2
175,"776 9th Ave #4s, Apt 4S","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3200.0,1.0,2
176, East 85th Street and 2nd Ave,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1925.0,1.0,0
177,"670 Pacific Street, Apt 805","Prospect Heights, Northwestern Brooklyn, Brooklyn",Prospect Heights,Northwestern Brooklyn,Brooklyn,4583.0,2.0,2
178,585 West 204th Street,"Inwood, Upper Manhattan, Manhattan",Inwood,Upper Manhattan,Manhattan,1850.0,1.0,1
179,"25-16 30th Drive, Apt 2F","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,3000.0,1.0,2
180,East 18th Street,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,5164.0,1.0,3
181,Mott Street,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3925.0,1.0,2
182,"605 West 42nd Street, Apt 15K","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2892.0,1.0,0
